Mod:Item:MetaData, Localized Name
minecraft:light_blue_shulker_box, Light Blue Shulker Box
minecraft:yellow_shulker_box, Yellow Shulker Box
minecraft:lime_shulker_box, Lime Shulker Box
minecraft:pink_shulker_box, Pink Shulker Box
minecraft:gray_shulker_box, Gray Shulker Box
minecraft:silver_shulker_box, Light Gray Shulker Box
minecraft:cyan_shulker_box, Cyan Shulker Box
minecraft:purple_shulker_box, Purple Shulker Box
minecraft:blue_shulker_box, Blue Shulker Box
minecraft:brown_shulker_box, Brown Shulker Box
minecraft:green_shulker_box, Green Shulker Box
minecraft:red_shulker_box, Red Shulker Box
minecraft:black_shulker_box, Black Shulker Box
minecraft:structure_block, Structure Block
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Oak Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Oak Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Minecart with Chest
minecraft:furnace_minecart, Minecart with Furnace
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, Fishing Rod
minecraft:clock, Clock
minecraft:glowstone_dust, Glowstone Dust
minecraft:fish:0, Raw Fish
minecraft:fish:1, Raw Salmon
minecraft:fish:2, Clownfish
minecraft:fish:3, Pufferfish
minecraft:cooked_fish:0, Cooked Fish
minecraft:cooked_fish:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Red Dye
minecraft:dye:2, Green Dye
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Yellow Dye
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, Bone
minecraft:sugar, Sugar
minecraft:cake, Cake
minecraft:bed, Red Bed
minecraft:repeater, Redstone Repeater
minecraft:cookie, Cookie
minecraft:filled_map:0, Map
minecraft:shears, Shears
minecraft:melon, Melon
minecraft:pumpkin_seeds, Pumpkin Seeds
minecraft:melon_seeds, Melon Seeds
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Rotten Flesh
minecraft:ender_pearl, Ender Pearl
minecraft:blaze_rod, Blaze Rod
minecraft:ghast_tear, Ghast Tear
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion, Potion
minecraft:glass_bottle, Glass Bottle
minecraft:spider_eye, Spider Eye
minecraft:fermented_spider_eye, Fermented Spider Eye
minecraft:blaze_powder, Blaze Powder
minecraft:magma_cream, Magma Cream
minecraft:brewing_stand, Brewing Stand
minecraft:cauldron, Cauldron
minecraft:ender_eye, Eye of Ender
minecraft:speckled_melon, Glistering Melon
minecraft:spawn_egg, Spawn
minecraft:experience_bottle, Bottle o' Enchanting
minecraft:fire_charge, Fire Charge
minecraft:writable_book, Book and Quill
minecraft:written_book, Written Book
minecraft:emerald, Emerald
minecraft:item_frame, Item Frame
minecraft:flower_pot, Flower Pot
minecraft:carrot, Carrot
minecraft:potato, Potato
minecraft:baked_potato, Baked Potato
minecraft:poisonous_potato, Poisonous Potato
minecraft:map, Empty Map
minecraft:golden_carrot, Golden Carrot
minecraft:skull:0, Skeleton Skull
minecraft:skull:1, Wither Skeleton Skull
minecraft:skull:2, Zombie Head
minecraft:skull:3, Head
minecraft:skull:4, Creeper Head
minecraft:skull:5, Dragon Head
minecraft:carrot_on_a_stick, Carrot on a Stick
minecraft:nether_star, Nether Star
minecraft:pumpkin_pie, Pumpkin Pie
minecraft:fireworks, Firework Rocket
minecraft:firework_charge, Firework Star
minecraft:enchanted_book, Enchanted Book
minecraft:comparator, Redstone Comparator
minecraft:netherbrick, Nether Brick
minecraft:quartz, Nether Quartz
minecraft:tnt_minecart, Minecart with TNT
minecraft:hopper_minecart, Minecart with Hopper
minecraft:prismarine_shard, Prismarine Shard
minecraft:prismarine_crystals, Prismarine Crystals
minecraft:rabbit, Raw Rabbit
minecraft:cooked_rabbit, Cooked Rabbit
minecraft:rabbit_stew, Rabbit Stew
minecraft:rabbit_foot, Rabbit's Foot
minecraft:rabbit_hide, Rabbit Hide
minecraft:armor_stand, Armor Stand
minecraft:iron_horse_armor, Iron Horse Armor
minecraft:golden_horse_armor, Gold Horse Armor
minecraft:diamond_horse_armor, Diamond Horse Armor
minecraft:lead, Lead
minecraft:name_tag, Name Tag
minecraft:command_block_minecart, Minecart with Command Block
minecraft:mutton, Raw Mutton
minecraft:cooked_mutton, Cooked Mutton
minecraft:banner:15, White Banner
minecraft:banner:14, Orange Banner
minecraft:banner:13, Magenta Banner
minecraft:banner:12, Light Blue Banner
minecraft:banner:11, Yellow Banner
minecraft:banner:10, Lime Banner
minecraft:banner:9, Pink Banner
minecraft:banner:8, Gray Banner
minecraft:banner:7, Light Gray Banner
minecraft:banner:6, Cyan Banner
minecraft:banner:5, Purple Banner
minecraft:banner:4, Blue Banner
minecraft:banner:3, Brown Banner
minecraft:banner:2, Green Banner
minecraft:banner:1, Red Banner
minecraft:banner:0, Black Banner
minecraft:end_crystal, End Crystal
minecraft:spruce_door, Spruce Door
minecraft:birch_door, Birch Door
minecraft:jungle_door, Jungle Door
minecraft:acacia_door, Acacia Door
minecraft:dark_oak_door, Dark Oak Door
minecraft:chorus_fruit, Chorus Fruit
minecraft:chorus_fruit_popped, Popped Chorus Fruit
minecraft:beetroot, Beetroot
minecraft:beetroot_seeds, Beetroot Seeds
minecraft:beetroot_soup, Beetroot Soup
minecraft:dragon_breath, Dragon's Breath
minecraft:splash_potion, Splash Potion
minecraft:spectral_arrow, Spectral Arrow
minecraft:tipped_arrow, Tipped Arrow
minecraft:lingering_potion, Lingering Potion
minecraft:shield, Shield
minecraft:elytra, Elytra
minecraft:spruce_boat, Spruce Boat
minecraft:birch_boat, Birch Boat
minecraft:jungle_boat, Jungle Boat
minecraft:acacia_boat, Acacia Boat
minecraft:dark_oak_boat, Dark Oak Boat
minecraft:totem_of_undying, Totem of Undying
minecraft:shulker_shell, Shulker Shell
minecraft:iron_nugget, Iron Nugget
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
actuallyadditions:magnet_ring_bauble:0, Ring of Magnetizing
actuallyadditions:magnet_ring_bauble:0, Ring of Magnetizing
actuallyadditions:potion_ring_advanced_bauble:0, Advanced Ring of Speed
actuallyadditions:potion_ring_advanced_bauble:0, Advanced Ring of Speed
actuallyadditions:potion_ring_advanced_bauble:1, Advanced Ring of Haste
actuallyadditions:potion_ring_advanced_bauble:1, Advanced Ring of Haste
actuallyadditions:potion_ring_advanced_bauble:2, Advanced Ring of Strength
actuallyadditions:potion_ring_advanced_bauble:2, Advanced Ring of Strength
actuallyadditions:potion_ring_advanced_bauble:3, Advanced Ring of Jump Boost
actuallyadditions:potion_ring_advanced_bauble:3, Advanced Ring of Jump Boost
actuallyadditions:potion_ring_advanced_bauble:4, Advanced Ring of Regeneration
actuallyadditions:potion_ring_advanced_bauble:4, Advanced Ring of Regeneration
actuallyadditions:potion_ring_advanced_bauble:5, Advanced Ring of Resistance
actuallyadditions:potion_ring_advanced_bauble:5, Advanced Ring of Resistance
actuallyadditions:potion_ring_advanced_bauble:6, Advanced Ring of Fire Resistance
actuallyadditions:potion_ring_advanced_bauble:6, Advanced Ring of Fire Resistance
actuallyadditions:potion_ring_advanced_bauble:7, Advanced Ring of Water Breathing
actuallyadditions:potion_ring_advanced_bauble:7, Advanced Ring of Water Breathing
actuallyadditions:potion_ring_advanced_bauble:8, Advanced Ring of Invisibility
actuallyadditions:potion_ring_advanced_bauble:8, Advanced Ring of Invisibility
actuallyadditions:potion_ring_advanced_bauble:9, Advanced Ring of Night Vision
actuallyadditions:potion_ring_advanced_bauble:9, Advanced Ring of Night Vision
actuallyadditions:battery_bauble:0, Single Battery
actuallyadditions:battery_bauble:0, Single Battery
actuallyadditions:battery_double_bauble:0, Double Battery
actuallyadditions:battery_double_bauble:0, Double Battery
actuallyadditions:battery_triple_bauble:0, Triple Battery
actuallyadditions:battery_triple_bauble:0, Triple Battery
actuallyadditions:battery_quadruple_bauble:0, Quadruple Battery
actuallyadditions:battery_quadruple_bauble:0, Quadruple Battery
actuallyadditions:battery_quintuple_bauble:0, Quintuple Battery
actuallyadditions:battery_quintuple_bauble:0, Quintuple Battery
farmingforblockheads:market, Market
nex:block_basalt:0, Basalt
nex:block_basalt:1, Smooth Basalt
nex:block_basalt:2, Basalt Bricks
nex:block_basalt:3, Basalt Pillar
nex:block_netherrack:0, Fiery Netherrack
nex:block_netherrack:1, Icy Netherrack
nex:block_netherrack:2, Lively Netherrack
nex:block_netherrack:3, Gloomy Netherrack
nex:block_brick_nether:0, Fiery Nether Bricks
nex:block_brick_nether:1, Icy Nether Bricks
nex:block_brick_nether:2, Lively Nether Bricks
nex:block_brick_nether:3, Gloomy Nether Bricks
nex:block_netherrack_path:0, Trodden Netherrack
nex:block_netherrack_path:1, Fiery Trodden Netherrack
nex:block_netherrack_path:2, Icy Trodden Netherrack
nex:block_netherrack_path:3, Lively Trodden Netherrack
nex:block_netherrack_path:4, Gloomy Trodden Netherrack
nex:block_hyphae, Hyphae
nex:block_sand_soul_tilled, Tilled Soul Sand
nex:block_glass_soul, Soul Glass
nex:block_glass_pane_soul, Soul Glass Pane
nex:block_amethyst, Nether Amethyst Block
nex:block_rime, Nether Rime Block
nex:block_ice_frostburn, Frostburn Ice
nex:block_bone_sliver, Bone Sliver
nex:block_bone_chunk, Bone Chunk
nex:block_iron_worn, Worn Iron Block
nex:tile_urn_sorrow:0, Urn of Sorrow
nex:tile_urn_sorrow:1, Urn of Sorrow
nex:ore_quartz:0, Fiery Quartz Ore
nex:ore_quartz:1, Icy Quartz Ore
nex:ore_quartz:2, Lively Quartz Ore
nex:ore_quartz:3, Gloomy Quartz Ore
nex:ore_amethyst, Nether Amethyst Ore
nex:ore_rime, Nether Rime Ore
nex:plant_mushroom_elder:0, Brown Elder Mushroom
nex:plant_mushroom_elder:1, Red Elder Mushroom
nex:plant_mushroom_elder_cap:0, Brown Elder Mushroom Cap
nex:plant_mushroom_elder_cap:1, Red Elder Mushroom Cap
nex:plant_mushroom_elder_stem, Elder Mushroom Stem
nex:plant_mushroom_enoki_stem, Enoki Mushroom Stem
nex:plant_mushroom_enoki_cap, Enoki Mushroom Cap
nex:plant_thornstalk:0, Thornstalk
nex:fluid_ichor, Ichor
nex:slab_vanilla:0, Red Nether Brick Slab
nex:slab_basalt:0, Basalt Slab
nex:slab_basalt:1, Smooth Basalt Slab
nex:slab_basalt:2, Basalt Brick Slab
nex:slab_basalt:3, Basalt Pillar Slab
nex:slab_brick_nether:0, Fiery Nether Brick Slab
nex:slab_brick_nether:1, Icy Nether Brick Slab
nex:slab_brick_nether:2, Lively Nether Brick Slab
nex:slab_brick_nether:3, Gloomy Nether Brick Slab
nex:slab_vanilla_double:0, Red Nether Brick Slabs
nex:slab_basalt_double:0, Basalt Slabs
nex:slab_basalt_double:1, Smooth Basalt Slabs
nex:slab_basalt_double:2, Basalt Brick Slabs
nex:slab_basalt_double:3, Basalt Pillar Slabs
nex:slab_brick_nether_double:0, Fiery Nether Brick Slabs
